company_name,tier,confidence
Aurora Pigments Ltd,2,0.88
Boreal Resins Inc,2,0.8224999999999999
Meridian Coatings LLC,2,0.63
Nordkant Borates AB,2,0.8262499999999999
Solstice Analytics Inc,2,0.9
Solstice Materials Iberia SA,2,0.83
Terra Silica Partners,2,0.83
Aurora Pigments Distribution GmbH,3,0.61776
Boreal Resins Iberia SL,3,0.577395
Petrochem Feedstock LLC,3,0.6144075
Quartz Extraction Co,3,0.58266
Rutile Mineral Exports Pty,3,0.6573599999999999
Flocculant Chemicals Pty,4,0.4910479199999999
Petrochem Feedstock Distribution LLC,4,0.431314065
Phenol Basestock Corp,4,0.4589624025
RUTILE MINERAL HOLDINGS PTY,4,0.46146672
Acrylamide Monomer Pty,5,0.3447156398399999
Benzene Feedstock Refining Co,5,0.322191606555
Flocculant Chemicals Group Pty,5,0.3447156398399999
Phenol Basestock Holdings Corp,5,0.322191606555
